amenity_categories,count,found
atm,3,60
bakery,5,25
bank,3,26
beauty_salon,5,60
book_store,3,6
bus_station,3,60
cafe,5,41
clothing_store,5,60
convenience_store,5,57
dentist,3,60
department_store,5,3
doctor,3,60
electronics_store,3,60
florist,3,23
furniture_store,3,57
gym,3,26
hair_care,5,60
hardware_store,3,30
home_goods_store,5,60
hospital,3,32
laundry,3,52
library,3,14
liquor_store,3,44
meal_takeaway,5,29
park,5,53
pet_store,3,4
pharmacy,3,60
restaurant,10,60
school,3,60
shoe_store,3,10
shopping_mall,3,9
store,5,60
supermarket,5,11
train_station,1,3
church,1,10
fire_station,1,1
gas_station,1,1
auto,1,1
grocery_store,1,1
industrial,1,1
residential,1,1
