APN,type
16907701,restaurant
16902008,restaurant
16904009,restaurant
16902009,restaurant
16902002,restaurant
16904010,restaurant
16904008,restaurant
16904007,restaurant
16904011,restaurant
16905002,restaurant
16904012,restaurant
16904006,restaurant
16904022,atm
16904021,atm
16904003,atm
16904015,atm
16904002,atm
16904016,atm
16904017,atm
16903009,atm
16903010,atm
16903011,atm
16903006,atm
16903005,atm
16902018,atm
16902016,atm
16902020,atm
16903013,atm
16902011,atm
16905003,bank
16910029,bank
16909052,bank
16909051,bank
16909050,bank
16909049,bank
16909061,bank
16908055,bank
16908054,bank
16908053,bank
16908052,bank
16908051,bank
16908050,bank
16908049,bank
16907703,bank
16916201,bank
16907702,supermarket
17717006,supermarket
16913524,supermarket
16913325,supermarket
16910042,supermarket
16913326,supermarket
16913327,supermarket
16910030,supermarket
16913328,supermarket
16913329,supermarket
16915210,supermarket
16915201,supermarket
16915101,supermarket
16916301,supermarket
