type,frequency,abs_value,abs_good,count_useful,marginal_good,reasonable_walk,reasonable_bike,reasonable_transit,reasonable_drive,marginal_walk,marginal_bike,marginal_transit,marginal_drive,abs_walk,abs_bike,abs_transit,abs_drive
bank,1.45,2.71,2.08,1.66,0.4,11.38,10.84,11.79,10.36,-0.2,-0.21,-0.2,-0.22,3.04,2.29,2.07,2.43
pharmacy,1.09,3.39,2.24,1.93,0.48,9.34,8.61,10,10,-0.25,-0.27,-0.23,-0.23,2.79,2.39,2.29,2.46
restaurant,9.61,3.71,6.66,9.64,0.9,10.14,9.7,15,14.64,-0.23,-0.24,-0.15,-0.16,3.07,2.39,2.46,2.54
store,6.3,3.25,4.78,3.07,0.67,6.05,6.48,7.14,6.79,-0.38,-0.36,-0.32,-0.34,2.89,2.71,2.14,2.18
supermarket,7.32,4.11,5.71,2.48,0.6,8.11,7.95,12.14,10.71,-0.28,-0.29,-0.19,-0.21,2.71,2.21,2.46,3
other,5.15,3.44,4.29,3.76,0.61,9,8.71,11.21,10.5,-0.27,-0.27,-0.22,-0.23,2.9,2.4,2.29,2.52
vacant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
church,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fire_station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
auto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grocery_store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
convenience_store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liquor_store,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
